event_a_id,event_a_event_id,event_a_name,event_b_id,event_b_event_id,event_b_name,event_c_id,event_c_event_id,event_c_name,rule_ids_a_to_b,article_ids_a_to_b,rule_ids_b_to_c,article_ids_b_to_c,support_a_to_b,support_b_to_c
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tien_tu_300_000_000_dong_den_1_500_000_000_dong_hoac_phat_tu_tu_03_nam_den_07_nam,phat_tien_tu_300_000_000_dong_den_1_500_000_000_dong_hoac_phat_tu_tu_03_nam_den_07_nam,Phạt tiền từ 300.000.000 đồng đến 1.500.000.000 đồng hoặc phạt tù từ 03 năm đến 07 năm:,146,53,"1306,821","188,234",1,2
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tien_tu_2_000_000_000_dong_den_5_000_000_000_dong_hoac_phat_tu_tu_02_nam_den_07_nam,phat_tien_tu_2_000_000_000_dong_den_5_000_000_000_dong_hoac_phat_tu_tu_02_nam_den_07_nam,Phạt tiền từ 2.000.000.000 đồng đến 5.000.000.000 đồng hoặc phạt tù từ 02 năm đến 07 năm:,146,53,"1102,1119","210,212",1,2
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tien_tu_100_000_000_dong_den_200_000_000_dong_hoac_phat_tu_tu_01_nam_den_05_nam,phat_tien_tu_100_000_000_dong_den_200_000_000_dong_hoac_phat_tu_tu_01_nam_den_05_nam,Phạt tiền từ 100.000.000 đồng đến 200.000.000 đồng hoặc phạt tù từ 01 năm đến 05 năm:,146,53,"1138,1147","214,215",1,2
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_02_nam_den_05_nam,phat_tu_tu_02_nam_den_05_nam,Phạt tù từ 02 năm đến 05 năm || Phạt tù từ 02 năm đến 05 năm:,146,53,"2402,2410","341,342",1,2
EVENT::dong_pham_co_su_cau_ket_chat_che,dong_pham_co_su_cau_ket_chat_che,Đồng phạm có sự câu kết chặt chẽ,EVENT::pham_toi_co_to_chuc,pham_toi_co_to_chuc,Phạm tội có tổ chức,EVENT::phat_tu_tu_03_nam_den_07_nam,phat_tu_tu_03_nam_den_07_nam,Phạt tù từ 03 năm đến 07 năm || Phạt tù từ 03 năm đến 07 năm:,37,17,"431,441","146,147",1,2
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tien_tu_300_000_000_dong_den_1_500_000_000_dong_hoac_phat_tu_tu_03_nam_den_07_nam,phat_tien_tu_300_000_000_dong_den_1_500_000_000_dong_hoac_phat_tu_tu_03_nam_den_07_nam,Phạt tiền từ 300.000.000 đồng đến 1.500.000.000 đồng hoặc phạt tù từ 03 năm đến 07 năm:,145,53,"1306,821","188,234",1,2
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tien_tu_2_000_000_000_dong_den_5_000_000_000_dong_hoac_phat_tu_tu_02_nam_den_07_nam,phat_tien_tu_2_000_000_000_dong_den_5_000_000_000_dong_hoac_phat_tu_tu_02_nam_den_07_nam,Phạt tiền từ 2.000.000.000 đồng đến 5.000.000.000 đồng hoặc phạt tù từ 02 năm đến 07 năm:,145,53,"1102,1119","210,212",1,2
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tien_tu_100_000_000_dong_den_200_000_000_dong_hoac_phat_tu_tu_01_nam_den_05_nam,phat_tien_tu_100_000_000_dong_den_200_000_000_dong_hoac_phat_tu_tu_01_nam_den_05_nam,Phạt tiền từ 100.000.000 đồng đến 200.000.000 đồng hoặc phạt tù từ 01 năm đến 05 năm:,145,53,"1138,1147","214,215",1,2
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_02_nam_den_05_nam,phat_tu_tu_02_nam_den_05_nam,Phạt tù từ 02 năm đến 05 năm || Phạt tù từ 02 năm đến 05 năm:,145,53,"2402,2410","341,342",1,2
EVENT::chong_tra_can_thiet_de_bao_ve_loi_ich_chinh_dang,chong_tra_can_thiet_de_bao_ve_loi_ich_chinh_dang,Chống trả cần thiết để bảo vệ lợi ích chính đáng,EVENT::phong_ve_chinh_dang,phong_ve_chinh_dang,Phòng vệ chính đáng,EVENT::khong_bi_coi_la_toi_pham,khong_bi_coi_la_toi_pham,Không bị coi là tội phạm,45,22,46,22,1,1
EVENT::chong_tra_ro_rang_qua_muc_can_thiet,chong_tra_ro_rang_qua_muc_can_thiet,Chống trả rõ ràng quá mức cần thiết,EVENT::vuot_qua_gioi_han_phong_ve_chinh_dang,vuot_qua_gioi_han_phong_ve_chinh_dang,Vượt quá giới hạn phòng vệ chính đáng,EVENT::chiu_trach_nhiem_hinh_su,chiu_trach_nhiem_hinh_su,Chịu trách nhiệm hình sự,47,22,48,22,1,1
EVENT::chong_tra_ro_rang_qua_muc_can_thiet,chong_tra_ro_rang_qua_muc_can_thiet,Chống trả rõ ràng quá mức cần thiết,EVENT::vuot_qua_gioi_han_phong_ve_chinh_dang,vuot_qua_gioi_han_phong_ve_chinh_dang,Vượt quá giới hạn phòng vệ chính đáng,EVENT::co_tinh_tiet_giam_nhe_trach_nhiem_hinh_su,co_tinh_tiet_giam_nhe_trach_nhiem_hinh_su,Có tình tiết giảm nhẹ trách nhiệm hình sự,47,22,106,51,1,1
EVENT::co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_d_khoan_nay,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_d_khoan_nay,Có 02 chất ma túy trở lên mà tổng khối lượng hoặc thể tích của các chất đó tương đương với khối lượng hoặc thể tích chất ma túy quy định tại một trong các điểm từ điểm a đến điểm d khoản này,EVENT::phat_tu_chung_than_hoac_tu_hinh,phat_tu_chung_than_hoac_tu_hinh,Bị phạt tù chung thân hoặc tử hình || Phạt tù chung thân hoặc tử hình:,EVENT::thoi_hieu_thi_hanh_ban_an_20_nam,thoi_hieu_thi_hanh_ban_an_20_nam,Thời hiệu thi hành bản án 20 năm,1494,248,166,60,1,1
EVENT::co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_g_khoan_nay,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_g_khoan_nay,Có 02 chất ma túy trở lên mà tổng khối lượng hoặc thể tích của các chất đó tương đương với khối lượng hoặc thể tích chất ma túy quy định tại một trong các điểm từ điểm a đến điểm g khoản này,EVENT::phat_tu_chung_than_hoac_tu_hinh,phat_tu_chung_than_hoac_tu_hinh,Bị phạt tù chung thân hoặc tử hình || Phạt tù chung thân hoặc tử hình:,EVENT::thoi_hieu_thi_hanh_ban_an_20_nam,thoi_hieu_thi_hanh_ban_an_20_nam,Thời hiệu thi hành bản án 20 năm,1598,251,166,60,1,1
EVENT::co_y_thuc_hien_toi_pham_nhung_khong_hoan_thanh_ngoai_y_muon,co_y_thuc_hien_toi_pham_nhung_khong_hoan_thanh_ngoai_y_muon,Cố ý thực hiện tội phạm nhưng không hoàn thành ngoài ý muốn,EVENT::pham_toi_chua_dat,pham_toi_chua_dat,Phạm tội chưa đạt,EVENT::chiu_trach_nhiem_hinh_su,chiu_trach_nhiem_hinh_su,Chịu trách nhiệm hình sự,31,15,32,15,1,1
